Title,Posted Date,Rental Price,Number of bedrooms,Neighborhood,Description
Luxury Monthly Vacation Rental~Spectacular Ocean Views~2 queens!,2019-03-03,,2br,Lincoln City ~ OPEN 9am - 10pm,"
        
HOUSE NAME: Sea Forever ~ Monthly Executive Rental

How do I find out more information? Go to web site (http://www.bellabeachrentals.com) then call  
, we offer up to date calendars, photos and pricing!Come visit the magnificent Oregon Coast today. 

Lincoln City Vacation Rentals  offers the most beautifully, well-maintained vacation rental homes available on the Oregon Coast. Select from Nantucket-style family cottages in the Bella Beach community to Roads End craftsman and Lincoln City Siletz Bay front, the choice is yours... 

Location: Lincoln City, Spectacular Ocean Views, Bright and Cheerful Décor, Easy Beach Access, Large Deck and more... 
A monthly rental perfect for escaping the southern heat in the summer or enjoying some much needed time away from home for reading, writing, or just relaxing.
Accommodates 6     Bedrooms: 3     Bathrooms: 2     Pets: Yes    

Rent : Winter: $2500/month, Spring/Fall: $3100/month, Summer: $6500/month, processing and cleaning fee.
How do I find out more information? Go to web site then call  
, we offer up to date calendars, photos and pricing!
    "
"Villa group 1 bedroom Cabo, Puerto, Nuevo vallarta, Canun, Loreto",2019-03-03,$700,1br,Surrey,"
        
4 star resort, right on the beach, 1 bedroom, 2 full baths, 860 sq. ft., king bed and queen Murphy bed, Sleeps 4 adults, kitchenette stocked for 4 people, fridge, stove, microwave, coffee maker ect. Ocean view balcony, with table and chairs, daily housekeeping, tv. 6 restaurants on site, close to Walmart and stores, beautiful view of lands end, 20 walk to downtown and huge variety of restaurants and bars

You can check out resorts at villa group resorts.com
Available now till December 2019

$700 u s d / week, from may 1-nov 2
$1100. U s d / week from Now -April 31 and nov3- dec 15 2019    "
"1 Bedroom, 1 Bath Cottage in the Country-Ferry to Seattle or Tacoma",2019-03-03,$75,1br,Vashon Island,"
        
Available for short term stays. Fully Furnished including utilities, linens. Maid service negotiable. $75./night based on 31 days or longer. Shorter stays possible at a higher rate. Pets negotiable. Check out the website for the Swallow's Nest Guest Cottages on Vashon Island -- www.vashonislandcottages.com .  Call  
 or 800-ANY-NEST    "
MAUI OCEAN FRONT CONDO - Lahaina/Kaanapali West Maui!,2019-03-03,,2br,Lahaina/kaanapali,"
        
Maui is outdoor living at its finest! Enjoy having breakfast lunch and dinner on your lanai staring at the ocean! Wake each morning to birds singing, swaying palm trees and the teal blue waters of the ocean.. there is no escaping the absolute OUTSTANDING view from this condo! 
Condo's view is of the ocean, pool and the Island of Molokai, whether you're sitting on the lanai, on our tropical couch, or cooking dinner in our fully equipped gourmet kitchen, complete with double oven and full size fridge! ..Eat in - Dine out the choice is yours. Condo is minutes away from many of Maui's famous activities, shopping areas, beaches, sights, golf courses and restaurants. Enjoy Maui as you have always imagined...relax and set your own pace...do as much, or as little, as you desire. We are conveniently located close to many restaurants, grocery stores, farmers' markets, hiking trails, golfing and shopping areas. The hustle bustle areas of Whalers Village in Kaanapali and Front street in Lahaina are just minutes away. You will rush home to this little piece of paradise to enjoy the spectacular sunsets each night, each providing its own unique panorama of exploding colors. There are tables at the oceans edge for a family dinner, a glass of wine or for sharing appetizers Maui-style with friends, old and new. 
Here on Maui it's summer 52 weeks a year, the weather here is outstanding, combine that with the warm, crystal clear waters of the ocean and you find paradise! This tropical condo is warm and personal, we are not an enormous high rise complex, you don't need binoculars to see the pool or ocean, we are right there ocean front.
When you stay at our condo there is no walking down long dark hallways in your swimsuit or dragging groceries thru a lobby, then trying to find your car in a huge parking lot, at our condo just walk out the front door to access the grounds, pool, BBQ's or your car! You will Enjoy relaxing at our fresh water heated pool without the annoyances that would befall you at a larger complex! 

Our condo is roomy, vaulted ceilings gives you a feeling of openness..amenities include; a fresh water heated swimming pool, free high speed wireless internet, cable, Smart TV, in room safe, coin operated laundry facilities on site, and free parking. Enjoy our new cutting edge fully equipped bamboo and espresso kitchen, complete with granite counter tops, new appliances which include a double oven. Enjoy showering with the inlaid granite dolphins in our walk in shower.. Condo's lush grounds are perfect for family vacations and relaxing getaways.. BBQ's are located next to the pool. As with any condo complex or hotel, all rooms/condo's here on Maui are not created equally, Our Condo Does Not border a street or a noisy parking lot, and there is no escaping the view, you are right there ocean front, the only thing between you and the ocean is the pool, no ""garden view"" or ""Mountain Views"" (other than the flowers around the pool, and the lovely Island of Molokai) If you love sunsets, turtle watching, whale watching (winter months) and stunning ocean views, this is the perfect spot for a memorable Maui vacation. 
Come stay with us and enjoy each and every day of your stay, view the beautiful ever changing teal blue waters of the ocean, watch sailboats, cruise boats, catamarans, turtles, dolphins, rays (whales in the winter months) go by and all right from this tropical condo! Watch or snorkel with the many resident sea turtles all year around, and all right out front of the condo, then sip wine and watch the spectacular explosive sunsets. 
Don't go to Hawaii and sit in your room on a bed staring at a TV on the wall, or view a parking lot, stay with us and enjoy each and every day of your vacation, this is truly your home away from home, you will not want to leave!! All pictures are actual pictures of our condo, and the view from our condo. The island in the view is Molokai.
Note. There are no hidden additional $10- $50 per night 'resort fees' that other resorts on this island charge for parking. We are not off island owners, our guests enjoy the convenience of having us here on the island and available, should you need any help or information. This insures you this condo is not neglected, the furniture is NEW, the condo is fully equipped, CLEAN, and you will be well taken care of on this wonderful Island of Maui! A Goody Basket awaits you on check in! If your dates are taken, or if you are bringing additional friends and family and need an additional condo, I will help you find another condo in the same complex. Need help finding a rental car? We are here for you.. I hope to hear from you soon to make your Hawaiian Vacation Magic! We accept Credit Cards, PayPal.. Need groceries on arrival? Just ask! I can also arrange light grocery shopping for you also, the fridge will have what you need, and will be ready for you on arrival. If we're booked, or you have additional family or friends coming and need an additional condo I maybe able to find you another condo in the same complex, to accommodate everyone.  Low season rates start at $200 per night plus HI tax and cleaning fees, high season (12/15 -4/15) rates start at $265 per night plus HI tax and cleaning fee. I look forward to hearing from you to help you plan your Maui Vacation! Mahalo Deb
    "
COTTAGES - CHILD AND PET FRIENDLY -- A FERRY BOAT RIDE FROM SEATTLE OR,2019-03-03,$115,1br,Vashon Island,"
        
Vashon Island Swallow's Nest Guest Cottages
Check out the website for the Swallow's Nest Guest Cottages on Vashon Island at www.vashonislandcottages.com or call  
 for help with reservations.
       The  is a 10-15 minute ferry boat ride from Seattle, Tacoma, or
        the Olympic Peninsula. It affords travelers the opportunity to sojourn in a peaceful,
        country retreat.  are furnished
        in a comfortable, warm, manner with plants, a rocking or arm chair, television, light
        cooking facilities, books, magazines, and a supply of tea, cocoa and fresh coffee. Two of
        the cottages have a magnificent view of Mount Rainier and the Puget Sound.
      
      
        Two are adjacent to a lovely wooded area next to the
        Island's premier golf course. Still another overlooks the scenic Burton Quartermaster
        Harbor.
        
        
                
                For sports enthusiasts, there is the Sportsmen's Club as well as hunting and fishing.
                Golfers will find the Vashon Country Club course and it's annual tournaments a delight.
              
              
                
                 We request that you do not smoke inside the cottages. Smoking
                outside, or on the porches is acceptable.
                 Families with well behaved children are encouraged to use the
                facilities. Let us know the size of your party at the time you make your reservation.
                Pets, properly cared for, are welcomed in some cottages by prior arrangement.
              
              
                  
          
          
            
            
          
          
            
            
          
          
              
                
              
              
                
              
            
            
          
        
        

                
              
              
                
              
            
            
          
        
        
      
    
    
  




    "
"Villa group 1 bedroom Cabo, Puerto, Nuevo vallarta, Canun, Loreto",2019-03-03,$700,1br,Surrey,"
        
4 star resort, right on the beach, 1 bedroom, 2 full baths, 860 sq. ft., king bed and queen Murphy bed, Sleeps 4 adults, kitchenette stocked for 4 people, fridge, stove, microwave, coffee maker ect. Ocean view balcony, with table and chairs, daily housekeeping, tv. 6 restaurants on site, close to Walmart and stores, beautiful view of lands end, 20 walk to downtown and huge variety of restaurants and bars

You can check out resorts at villa group resorts.com
Available now till December 2019

$700 u s d / week, from may 1-nov 2
$1100. U s d / week from Now -April 31 and nov3- dec 15 2019    "
3 bdrm Lakefront home close in Olympia,2019-03-03,$3500,3br,"7704 Fair Oaks Rd SE, Olympia","
        
Beautiful home nestled on Pattison Lake in Olympia...very close to town.  This home is fully furnished and has been recently updated.  It has a beautiful view, fireplace, a huge kitchen, lots of windows, air conditioning, an open concept and 4 deer that visit daily.  Pattison Lake is a very quite lake....no water skiing or jet skiing...only kayaks, canoes, and very low horsepower engine boats are allowed.

I'm looking for a minimum of 3 month rental commitment with rent being $3500 per month in the winter (Nov thru April), and $4000 per month in the summer (May thru October), plus utilities.

Please call, text or email if interested.

Ken    "
Summer Week at Disneyland,2019-03-03,$283,2br,"Anaheim, CA","
        
BEST OF THE BEST!!! Panoramic views! Wonderful location just a 10 Minute shuttle ride to the Gates of Disneyland. Luxurious, Spacious 2 Bedroom 2 Bath Condo (Sleeps 6) in the magnificent, Five Star Worldmark Resort at Anaheim 8/2/19 tp 9/9/19. Only $283.00 per night plus tax. Sleeps up to 6 people. 

Unit Amenities: Full Kitchen, Dining Area, Cable TV, DVD/CD Player, Balcony/Terrace, A/C, Ceiling Fans, Sofa Bed, Wireless Internet. Outdoor pool and Children's Pool, Hot Tub, Barbecue Area, Fitness Center, Snack Bar, Laundry in Unit, Game Room. 

Resort Amenities: Outdoor pool, outdoor children's pool, four outdoor hot tubs (two on rooftop deck), rooftop sun deck, barbecue grills, lobby lounge, gift shop, fitness center, business center with Internet access, elevators, recreation center, arcade, adjacent parking garage and on-site sales office.

Other dates and resorts within the Worldmark System also available. Pictures are of typical units and scenes. Call, or email now for additional information or to reserve this Once-in a-Lifetime Suite for your family.    "
Spring Break in Victoria,2019-03-03,$145,2br,"Victoria, B.C.","
        
Worldmark Resort on the Water in the Heart of Fabulous Victoria, British Columbia (Passport required). Available 3/8/19 to 3/15/19. Only $145 per night!!! Spacious 2 Bedroom, 2 Bath (Sleeps 6), Fruly equipped, very tastefully furnished, Washer/Dryer in Unit, Barbecue, Deck/Patio, Fireplace, dining area, Breakfast Bar, Close to Everything!

Whale Watching, Boating, Sport fishing, Many heritage and maritime museums, Scuba diving, Horseback Riding, Hiking, Downhill Skiing, 
· Cross Country Skiing, Theater, Gift Shop, Movie Rental, Bed Joiners Available.

Local Activities: Royal British Columbia Museum, Maritime Museum of British Columbia, BC Parliament buildings, Empress Hotel , Art Gallery of Greater Victoria, Butchart Gardens, Victoria Butterfly Gardens, Children's Farm at Beacon Hill Park, Miniature World, Area golf courses, Beautiful parks, Wonderful shopping    "
Summer Week at Disneyland,2019-03-03,$283,2br,"Anaheim, CA","
        
BEST OF THE BEST!!! Panoramic views! Wonderful location just a 10 Minute shuttle ride to the Gates of Disneyland. Luxurious, Spacious 2 Bedroom 2 Bath Condo (Sleeps 6) in the magnificent, Five Star Worldmark Resort at Anaheim 8/2/19 tp 9/9/19. Only $283.00 per night plus tax. Sleeps up to 6 people. 

Unit Amenities: Full Kitchen, Dining Area, Cable TV, DVD/CD Player, Balcony/Terrace, A/C, Ceiling Fans, Sofa Bed, Wireless Internet. Outdoor pool and Children's Pool, Hot Tub, Barbecue Area, Fitness Center, Snack Bar, Laundry in Unit, Game Room. 

Resort Amenities: Outdoor pool, outdoor children's pool, four outdoor hot tubs (two on rooftop deck), rooftop sun deck, barbecue grills, lobby lounge, gift shop, fitness center, business center with Internet access, elevators, recreation center, arcade, adjacent parking garage and on-site sales office.

Other dates and resorts within the Worldmark System also available. Pictures are of typical units and scenes. Call, or email now for additional information or to reserve this Once-in a-Lifetime Suite for your family.    "
Westport RV Site near the Beach  $20. night,2019-03-03,$20,None,Westport,"
        
The site is a short walk (less than 5 minutes) to the beach and is located at 102 C. Bonge St, Westport, 98595 (google for overhead pic) which is just past the State Park on Hwy 105. You can walk on a blacktop road to the beach. You may want to Google the address to get an idea. There are no laundry/shower facilities but you do have more room and privacy than in a regular RV park.

  Prefer no more than two or three  people. The area where you would be camping would be in front of the house and you can park in the driveway area, a little to the right,  with your vehicle and RV. There are some small redwood landscaping timbers to the right and you could park anywhere in the driveway over to these timbers. There is a water spigot to hook to and a 30 amp plug. If you need sewer hook up there is a sewer line you could hook into. We ask that you take your garbage with you after your stay.

We do not live in the area so you need to contact me to make sure the site is available.
Winter Rates as of September 1st:Rent is $20 a night, $50 for 3 nights/4 days, or $100 for 7 nights, which includes water, sewer and electricity. Prefer 3 night minimum for major holidays. You can google the site at: 102 Bonge, Westport 98595

Camping Trailer, travel trailer, 5th wheel, westport, beach,  rv site, Westport, ocean beach    "
Thinking About Airbnb for your Property? Let me do all the work!,2019-03-03,,None,Seattle,"
        
Thinking about Airbnb for your property? Or already have an Airbnb listing but not enough time to manage it? Now you can take back your freedom, control and flexibility of your property. Braxton Management is a super-host company registered with Airbnb that can manage your listing efficiently, professionally and with the utmost care. Take back your time, and let us do all the work.

Only your ideal guests will be accepted. You will see all activity, and are in complete control, except we do all the work of selling, managing, marketing, advertising, social media and all communications between the guests and Airbnb. This is why we are able to book our client's properties over 25+ days of any given month, generating substantial revenues for them.

There are no upfront or monthly fees, we are only paid when you are paid through Airbnb. If you are an absentee owner, we can arrange bonded, insured housekeeping and a greeter, given your approval. Note that 50% of our clients exercise self-check-in. So whether for a 1 day booking or a 28 day booking, you will be completely covered.

Guest inquiries come from around the world, in every time zone, requiring 24/7 attention for maximum ranking on Airbnb. We answer all bookings and guests communications within 30 minutes, and we do this so you can feel relaxed and secure.

Join all the others who are replacing their long-term tenants for short-term guests. Take back your property. Seattle area properties are commanding top dollar.

Regardless of your property type, Airbnb revenue surpasses annual rental leases. Furthermore, daily, weekly, or monthly balance sheets can be viewed at anytime on your listing account. 

So, if you're thinking about this and want to learn more, please do not hesitate to contact us. We will email you our business outline and process. It's easy and fast for you to start earning within days. 
-Thanks, Chris

    "
Mar 8-11 Leavenworth Worldmark Owners or Non Owners,2019-03-03,,2br,Leavenworth,"
        
Mar 8,9,10  Additional  Days Available 
Worldmark Owners $150 when Booked into Your Account (Account  Required)Non Owner
Choose Any Dates In Mar   $309 per Nite (2 Nite min(Any 2 Nites)Wknds Slightly More
Hi! I am a WorldMark Resort owner & can offer you savings in staying at locations throughout US & International locations. Examples are WorldMark Anaheim, Windsor, San Diego, SF, Las Vegas, Hawaii, etc. These are furnished condos so pack your clothes and enjoy!

Please let me know your dates/location so I can assists. Prices will vary on location/date/units. Units can be studio to 4bd., depending on the location. Booking reservations will be in your name so rest assured it is safe. You are encouraged to contact the resort directly to confirm your reservation. All we ask is you keep our place damage free and abide by resort rules & regulations.
    "
Ocean View 2 bedroom 2 Bath in Cabo San Lucas,2019-03-03,$150,2br,Cabo San Lucas MX,"
        
Two Bedroom Two Bathroom Condo in Cabo San Lucas.
This Condo sits on Sunrock over looking the sea of Cortez.
It has 24 security Two pools one with a swim up bar, and grill. There are six restaurants in walking distance. You have your own private beach Cabo Bello, great for snorkeling. 
There is a little market on the property, Walmart, and Costco are 1 and 2 miles down the road.
The condo has Central air, ceiling fans,washer and dryer, Dish TV,Wi-Fi, Beach chairs,ice chest, Umbrella,unlimited calling to US, and Canada.
In season is $150.00 a night, low season May thru September is $135.00
For further information look at Airbnb, Tripadvisor, or Casa Castaneda in VRBO.    "
March 4th - West Capitol Hill Urban Refuge,2019-03-03,$68,1br,Capitol Hill,"
        
March 4th to the 8th currently available with dates available later on as well.

A huge 12' x 19' private master bedroom with ensuite bathroom available.

Dates open up 3 to 4 months in advance for booking purposes, if you want a specific date out beyond 3 months from today, get at me and we can likely arrange to open those dates specifically for you.

There is a queen bed, with an additional queen mattress in the closet, with floor space to lay it out, should you need space for 4 or can accommodate the 2 extras on the sofa/sleeper in the living room or whatever combination works for you. The other spaces in this 2 bedroom 2 bath 1,140 square foot apartment are common areas.

Guest dogs or cats are welcome.

https://www.misterbandb.com/rooms/116837

https://www.a**b*b.com/rooms/17815115 - replace the * with ir and b.

And check out the area at the WalkScore website too.
https://www.walkscore.com/score/600-bellevue-ave-e-seattle-wa-98102#    "
March 4th - OneBedroom Condo! - West Capitol Hill (Gay/Str8 Welcoming),2019-03-03,$98,1br,Capitol Hill,"
        
March 4th to 9th available and dates thereafter too from $98 night.

A super-comfortable hotel quality one-bedroom suite that is located in the heart of Seattle.

It is well located with 5 local restaurants as well as night life and entertainment within a block or so radius.

It is just around the corner from Summit Pub and across the street from Harry's Fine Foods Restaurant, there is a corner grocery 1/2 block away, and Top Pot Doughnuts across the alley and Tapas next to Summit Pub.

Walking distance to the Broadway Business district, and the Pike/Pine nightlife area (both str8, gay and mixed clubs) and then to the west a few blocks is Downtown Seattle, the waterfront, Seattle Center, CenturyLink Field and Safeco Field. Other attractions are Starbucks Reserve, The Big Wheel, Glass Museum, Boeing Flight Museum, Asian Art Museum, EMP, Amazon's World Headquarters with Bezos Balls Bioshperes.

This space is a large 650 square foot one bedroom apartment with LVP flooring (cleanliness), with wood burning fireplace and some wood for a fire too. With a full kitchen to prep a terrific meal for your friends and family you'll have a great vacation or work stay.

I am onsite in the property to handle your concerns, questions or requests for referrals or any other issues that might come up.

Come for sports, theater, family, vacation, work, job interviews or someone you met online and want to meet in person in a safe space. There is a 55"" television with Roku streaming, PlutoTV, DirectNowTV, Netflix etc.

Rates and availability can be found here at this URL - https://www.airbnb.ca/rooms/17815115

The entire property is smoke free by lease agreements. The area has zoned street parking with a limit of 2 hours from 8 AM to 8 PM Mon-Sat. If you need parking for your stay that can typically be arranged for $10 a night too.    "
Vacation Rental,2019-03-03,$4000,2br,Lake Chelan,"
        
Lake Chelan Shores 
Bed plus loft, 1 3/4 bath
Overlooks pool and lake
Close to town, golf.
Balcony with barbeque. 
Tennis, pools, weight room.
Wifi
Boat launch, moorage
Washer/dryer
Sleeps 6
    "
Sometimes you just need to get outta Dodge,2019-03-03,,2br,Joshua Tree,"
        
Book before someone gets it!

Email or text us for the Airbnb link for more information, availability and online booking. 

The Martian Rose is a stylish desert retreat located in the middle of the high desert for the ultimate dark skies and star gazing. 

Sitting on top of a hill in east Joshua Tree the property is secluded and private for your ultimate desert adventure. Carefully curated and full of artistic touches, this property is an experience of its very own!

We invite you to soak the city stress away in the hot tub perched perfectly for reminiscing under the starry night skies with views for miles.

Email or text us for a link to the Airbnb for more information, availability, and online booking. 

• THE SPACE 
The unique hand carved floors sprawl through the entire house offering a creative space like no other house out here.  There are 2 bedrooms and 1 bathroom with comfortable sleeping arrangements for 4 people; a queen bed in each room make the sleeping arrangements comfortable and relaxing. 


•THE OUTDOORS
The large secluded property of 5 acres with 2.5 acres fenced and gated, comes equipped with outdoor amenities including outdoor dining table, art sculptures a hot tub and fire pit for relaxing and incredible stargazing. 2 covered patios and 1 uncovered open to the sky. The back covered patio is accessible from either bedroom and offers breathtaking views of the valley as well as Big Bear mountain. The sunsets from here are amazing. 

• A/C 
The Martian Rose is heated/cooled by central air conditioning and is programmed by a nest thermostat. 

• WASHER/DRYER
The Martian Rose has a washer and dryer available to guests that's are staying with us for an extended period for 3 or more days.

• KITCHEN
The Martian Rose provides the following kitchen necessities: Standard Stove, Full Size Fridge, Sink Disposal, Silverware, Plates & Bowls, Glasses, Coffee Mugs, Wine Glasses, Scissors, Wine Opener, Bottle Opener, Salt & Pepper, Olive Oil, Refillable Water Filter, Various Pots & Pans, Microwave, Strainer, Mixing Bowls, Measuring Cups, Measuring Spoons, Wooden Spoons, Spatula, Knife Set, Cutting Boards, Small Trash Bags, Dish Soap, Hand Soap, Dish Scrubber.

• BATHROOM
The Martian Rose provides the following bathroom necessities: Water efficient toilet, Urinal, High pressure shower head, Bath Towels, Hand Towels, Washcloths, Shampoo, Conditioner, Body Wash, Hand Soap, Toilet Paper, Plunger, First Aid Kit, Hair Dryer.

2 day min booking

Holiday rates higher see booking calendar 

Joshua tree 
yucca valley 
29palms 
Twentynine Palms 
Joshua tree national park 
wonder valley 
pioneer town 
Airbnb
Palm Springs
Desert hot springs
Mohave    "
Wapato Point Lake Chelan condo 2 brm and bath  $850 March 31-Apri 7,2019-03-03,$850,2br,"Manson, Washington","
        
Wapato Point two bedroom two bath in Lakeside Condos second floor, you look out at Lake Chelan form the living room.

Wapato Point Condo for rent in the Spring March 31-April 7th 2019

2 Bedrooms, 2 Bath, Top Floor, sleeps 7. There is one queen bed n master bedroom, two twin beds in the smaller room with privacy, a pull out sofa size queen and a small daybed in loving room. 

This top unit Condo has a lovely patio with BBQ facing beach.
 In the unit is a fully supplied kitchen with everything you need and washer/dryer too.  There are two TVs, one in the master bedroom and one in loving room. The Front desk rents movies and loans out puzzles and games to play too. We hope some can enjoy and have fun this spring, we always do. 

For fun there is a Indoor pools with a hot tub and a kiddie pool inside, mini golf course, tennis, volleyball, work out facilities too. 

There is a restaurant on site that offers wine tasting too.

THINGS TO DO IN THE AREA:
Local Wineries for dinner and wine tasting- to many to even list
Local Cider company downtown Manson
Mini Golf 
Cooking classes at wineries 
Skate Park
Bowling 
Bicycle, Mountain Bike, or Hike 
Shop – (We love the local bookstore in Lake Chelan) 
Cross Country ski, Alpine ski at Echo Valley Ski Area 
small town Theater in Lake Chelan 
Blue Berry Farms restaurant 
Mill Bay Casino is in Manson. 

Just listing this for the first time. E-mail me with any questions!
Need a Spring break from work or school or life? 
3/31/19-4/7/19 Check in at 6:00 pm check out at 10:00am. You do need to pick up the unit, take out the garbage clean your dishes and strip the beds. It is pretty easy to do.    "
Cycling Adventures,2019-03-03,,2br,Kelowna BC,"
        
Kelowna Cycling Adventures

Come stay with us , amazing selection of cycling opportunities for all  ages and skill levels. We provide accommodation, secure bike storage, basic repair shop, shuttle service and plenty of free parking. Do a  self- directed cycling wine tour, or try some of our double black diamond downhill trails. Bring your family, theres lots to see and do. May , June and  September, October are the best times.

For more information call /text   
  or visit our website at www.winedownhereKelowna.com    "
Boathouse for rent,2019-03-03,,None,Tacoma- Dayisland,"
        
For sale -
Day Island Boathouse-

Will fit a 29"" boat with a 9.5 Beam currently but can be adjusted to fit a larger capacity boat. Had a Boston Whaler inside and was great. 
Water and power inside boathouse.

Boat is always in water and over cover. 

Best marina in the state 

Sold the boat- 

$1500 transfer fee paid to marina- 
$300 moorage a month 
$5-10 for power and water at most a month 

$9,000 cash for title to house 
Will consider renting for a fee above moorage 
Would be great for 
Keywords

Outboard 
Onboard 
Yeti
Mercury 
Boost 
Cooler 
Refer 
4 stroke    "
Wapato Point Beach Condo,2019-03-03,$450,2br,Manson,"
        
Wapato Point Beach Condominium timeshares for gifting. These units are both on upper floors that overlook the most popular beach area and are centrally located at the resort. Units have just been remodeled! We have owned these units for many years enjoying the getaway weeks and making memories at this popular resort. The units are 546M and 547B. The weeks are listed below:
546M
4-25/5-2  
8-22/8-29  
12-19/12-26  

547B
1-31/2-7
6-6/6-13
10-3/10-10


Gifting the units is a simple transaction that conveys ownership to you via a real estate recording. The closing costs are all that we are asking you to pay for the units which are around $450. These units cost thousands to purchase originally. Call me for further details.    "
Hawaii Big Island Vacation Rental (Senior/Long Term Discounts),2019-03-03,,2br,Waikoloa,"
        
We are a couple from Arlington, Washington State who recently purchased our dream vacation home on the Big Island of Hawaii.
Our house is located in Waikoloa Colony Villas which is part of the exclusive Waikoloa Beach Resort.
This spacious 2 bedroom 2.5 bath unit is located just steps from one of two Swimming Pools in the resort. It is also right next to the gym, and across the street from the Tennis Courts. Close to the best beaches on the island too. We have totally refurbished our home, everything is brand new to all the kitchen appliance to Smart TV's in all the bedrooms. We have plenty of chairs, umbrellas, beach towels, masks and snorkels, flippers, beach toys, bikes and cooler to take to the beach available.
The resort also has two golf courses to choose from and we have three sets of golf clubs available for use during your stay. We are close to all the most beautiful beaches on the island, only a 10 mins drive to Hapuna Beach and you can walk to A-Bay from our home.
If you have any questions, we are more than happy for you to call us (and actually recommend it for your safety and ours) or email us. We will get back to you straight away.
Please check out our reviews to see what other guests have said about their stay, and also to check our  calendar for availability) Please email us or call us for further information.

    "
Wapato Point-Lake Chelan Condo 2 brm and 2 bath  $850 March 31-Apri 7,2019-03-03,$850,2br,"Manson, Washington","
        
Wapato Point two bedroom two bath in Lakeside Condos second floor, you look out at Lake Chelan form the living room.

Wapato Point Condo for rent in the Spring March 31-April 7th 2019

2 Bedrooms, 2 Bath, Top Floor, sleeps 7. There is one queen bed n master bedroom, two twin beds in the smaller room with privacy, a pull out sofa size queen and a small daybed in loving room. 

This top unit Condo has a lovely patio with BBQ facing beach.
 In the unit is a fully supplied kitchen with everything you need and washer/dryer too.  There are two TVs, one in the master bedroom and one in loving room. The Front desk rents movies and loans out puzzles and games to play too. We hope some can enjoy and have fun this spring, we always do. 

For fun there is a Indoor pools with a hot tub and a kiddie pool inside, mini golf course, tennis, volleyball, work out facilities too. 

There is a restaurant on site that offers wine tasting too.

THINGS TO DO IN THE AREA:
Local Wineries for dinner and wine tasting- to many to even list
Local Cider company downtown Manson
Mini Golf 
Cooking classes at wineries 
Skate Park
Bowling 
Bicycle, Mountain Bike, or Hike 
Shop – (We love the local bookstore in Lake Chelan) 
Cross Country ski, Alpine ski at Echo Valley Ski Area 
small town Theater in Lake Chelan 
Blue Berry Farms restaurant 
Mill Bay Casino is in Manson. 

Just listing this for the first time. E-mail me with any questions!
Need a Spring break from work or school or life? 
3/31/19-4/7/19 Check in at 6:00 pm check out at 10:00am. You do need to pick up the unit, take out the garbage clean your dishes and strip the beds. It is pretty easy to do.    "
Boathouse for rent,2019-03-03,,None,Tacoma- Dayisland,"
        
For sale -
Day Island Boathouse-

Will fit a 29"" boat with a 9.5 Beam currently but can be adjusted to fit a larger capacity boat. Had a Boston Whaler inside and was great. 
Water and power inside boathouse.

Boat is always in water and over cover. 

Best marina in the state 

Sold the boat- 

$1500 transfer fee paid to marina- 
$300 moorage a month 
$5-10 for power and water at most a month 

$9,000 cash for title to house 
Will consider renting for a fee above moorage 
Would be great for 
Keywords

Outboard 
Onboard 
Yeti
Mercury 
Boost 
Cooler 
Refer 
4 stroke    "
Waterfront~whale watch~hottub king bed fireplace! Amazing Views!,2019-03-03,,3br,Open Spring Break~call to reserve online,"
        
HOUSE NAME:  Whale's Tale 

How do i find out more information? Visit web site http://www.bellabeachrentals.com then Call  
, we offer up to date calendars, photos and pricing!

Come visit the magnificent Oregon Coast today. Bella Beach Vacation Rentals (http://www.bellabeachrentals.com) offers the most beautifully, well-maintained vacation rental homes available on the Oregon Coast. Select from Nantucket-style family cottages in the Bella Beach community to Roads End craftsman and Lincoln City Siletz Bay front, the choice is yours. . . 

Location: Bella Beach 
Luxury Ocean Front, Pet-Friendly with King Bed in Master 

Enjoy splashing waves and stunning views of the Pacific Ocean from every deck of this luxury stylish beach-front vacation condo In Bella Beach. Just steps to the community's main beach entrance and to a seven mile stretch of sandy Oregon coastline. 

Rent : Winter: $250 per night, Spring/Fall: $275 per night, Summer: $375 per night, Independence Day: $575 per night, plus tax/fees and a cleaning fee. 

For rental details view web site then call  
 Web site offers up-to-date information.  

Accommodates 9 - http://bellabeachrentals.com/vacation-rentals/whales-tale/ 


►►► GO TO http://www.bellabeachrentals.com THEN CALL FOR MORE INFORMATION  

    "
RV rental 27 foot Fleetwood Travel Trailer for R ent 75.00/night,2019-03-03,$100,2br,Puyallup WA,"
        
Vacation rental Go Camping!!! Rent our Trailer for a clean, Dry and comfortable stay!
It's Easy! and the rent is affordable! We can't use it EVERY WEEKEND!! We'll help you get going for a fun trip!
sleeps 2 Adults and 3 kids perfectly! 
Sorry No Pets and No Smoke
you'll need a Tow Vehicle capable of towing 6,000 pounds, with a functioning Trailer Brake System required. As well as a seven prong electrical plug attachment.
you will also need proof of insurance, naturally ! 
Or we can deliver and pick up the unit for you, at an additional Fee.

$100.00 per night during off peek weeks Sept/ April with a 2 night minimum.
125.00 per night May/ August 3 night minimum 
500.00 Damage and cleaning  Deposit, refundable if unit returned in satisfactory condition of course.

booking deposit of 250.00 dollars applys to your rent. Refundable only if cancellation comes 2 weeks in advance of bookings.

some camping gear supplies included.
Generator ( small 1800watts )Available for an additional 50.00 flat fee.
    "
